title,image,link,info,score
解忧杂货店,https://img3.doubanio.com/view/subject/m/public/s27264181.jpg,https://book.douban.com/subject/25862578/,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.5
活着,https://img3.doubanio.com/view/subject/m/public/s29053580.jpg,https://book.douban.com/subject/4913064/,余华 / 作家出版社 / 2012-8-1 / 20.00元,9.3
追风筝的人,https://img3.doubanio.com/view/subject/m/public/s1727290.jpg,https://book.douban.com/subject/1770782/,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.9
三体,https://img1.doubanio.com/view/subject/m/public/s2768378.jpg,https://book.douban.com/subject/2567698/,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,8.8
白夜行,https://img3.doubanio.com/view/subject/m/public/s4610502.jpg,https://book.douban.com/subject/3259440/,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,9.1
房思琪的初恋乐园,https://img3.doubanio.com/view/subject/m/public/s29651121.jpg,https://book.douban.com/subject/27614904/,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元,9.2
小王子,https://img3.doubanio.com/view/subject/m/public/s1103152.jpg,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,9.0
嫌疑人X的献身,https://img3.doubanio.com/view/subject/m/public/s3254244.jpg,https://book.douban.com/subject/3211779/,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9
失踪的孩子,https://img1.doubanio.com/view/subject/m/public/s29799269.jpg,https://book.douban.com/subject/30172069/,[意] 埃莱娜·费兰特 / 陈英 / 99读书人|人民文学出版社 / 2018-7 / 62.00元,9.2
围城,https://img3.doubanio.com/view/subject/m/public/s1070222.jpg,https://book.douban.com/subject/1008145/,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,8.9
